,brand,product_count,href
123,Sun King,19,https://wikiliq.org/beer-brands/sun-king/
124,Lord Hobo,19,https://wikiliq.org/beer-brands/lord-hobo/
125,Long Trail,19,https://wikiliq.org/beer-brands/long-trail/
126,The Lost Abbey,19,https://wikiliq.org/beer-brands/the-lost-abbey/
127,Down the Road,19,https://wikiliq.org/beer-brands/down-the-road/
128,Reuben's Brews,19,https://wikiliq.org/beer-brands/reubens-brews/
129,Idle Hands Craft Ales,19,https://wikiliq.org/beer-brands/idle-hands-craft-ales/
130,UFO,19,https://wikiliq.org/beer-brands/ufo/
131,Omnipollo,19,https://wikiliq.org/beer-brands/omnipollo/
132,Westbrook Brewery,19,https://wikiliq.org/beer-brands/westbrook-brewery/
133,Threes Brewing,19,https://wikiliq.org/beer-brands/threes-brewing/
134,Half Acre,19,https://wikiliq.org/beer-brands/half-acre/
135,Truly Hard Seltzer,19,https://wikiliq.org/beer-brands/truly-hard-seltzer/
136,Foolproof Brewing Company,18,https://wikiliq.org/beer-brands/foolproof-brewing-company/
137,Firefly Hollow Brewing,18,https://wikiliq.org/beer-brands/firefly-hollow-brewing/
138,Shock Top,18,https://wikiliq.org/beer-brands/shock-top/
139,Upslope,18,https://wikiliq.org/beer-brands/upslope/
140,Urban Chestnut,18,https://wikiliq.org/beer-brands/urban-chestnut/
141,Hopewell Brewing Co.,18,https://wikiliq.org/beer-brands/hopewell-brewing-co/
142,Oxbow Brewing,18,https://wikiliq.org/beer-brands/oxbow-brewing/
143,Widowmaker Brewing,18,https://wikiliq.org/beer-brands/widowmaker-brewing/
144,Palm Bay,18,https://wikiliq.org/beer-brands/palm-bay/
145,Big Rock Brewery,17,https://wikiliq.org/beer-brands/big-rock-brewery/
146,Rising Tide,17,https://wikiliq.org/beer-brands/rising-tide/
147,Cambridge Brewing Company,17,https://wikiliq.org/beer-brands/cambridge-brewing-company/
148,Kona,17,https://wikiliq.org/beer-brands/kona/
149,Yuengling,17,https://wikiliq.org/beer-brands/yuengling/
150,Kent Falls,17,https://wikiliq.org/beer-brands/kent-falls/
151,Backlash,17,https://wikiliq.org/beer-brands/backlash/
152,Banded Brewing Co.,17,https://wikiliq.org/beer-brands/banded-brewing-co/
153,Shiner,17,https://wikiliq.org/beer-brands/shiner/
154,Belching Beaver Brewery,17,https://wikiliq.org/beer-brands/belching-beaver-brewery/
155,pFriem,17,https://wikiliq.org/beer-brands/pfriem/
156,Fifth Hammer Brewing Co.,17,https://wikiliq.org/beer-brands/fifth-hammer-brewing-co/
